Last Name,姓氏,Ethnic
TEEY,鄭,Hokkien/Teochew
YE,葉,Mandarin
KAY,KAY,Others
GEOK,玉,Hokkien
LEY,雷,Mandarin
LIAP,聶,Hokkien
SIAK,SIAK,Others
QUAKE,郭,Others
BOOK,BOOK,Others
SAT,SAT,Others
LWEE,李,Korean
ZHU,朱,Mandarin
KHENG,慶,Hokkien
TERM,TERM,Others
OIE,黃,Hokkien
NGIEW,NGIEW,Others 
JIA,賈,Mandarin
XIE,謝,Mandarin
PEY,裴,Mandarin
BAK,木,Hokkien
JIANG,蔣,Mandarin
LOON,LOON,Others
KUANG,鄺,Mandarin
CAO,曹,Mandarin
CHUE,楚,Mandarin
WHAN,尹,Cantonese
BAR,BAR,Others
PAR,PAR,Others
THENG,鄧,Hakka
KOOK,鞠,Korean
SHOW,SHOW,Others
XIN,辛,Mandarin
EYU,余,Cantonese
GEOW,蕘,Hokkien
KOOI,KOOI,Others
PEI,裴,Mandarin
KIANG,姜,Hokkien
SEEM,SEEM,Others
YEK,易,Cantonese
EK,易,Hokkien
TOCK,杜,Hokkien/Teochew
JAP,JAP,Others
CHIH,CHIH,Others
CHIAH,謝,Teochew
CHAT,CHAT,Others
CHWEE,崔,Hokkien
LUE,LUE,Others
CHEM,CHEM,Others
WAY,魏,Cantonese
TOON,TOON,Others
SIONG,宋,Hakka
CHIONH,蔣,Cantonese
MOY,梅,Cantonese
AUN,安,Mandarin
SHIE,謝,Others
KIN,金,Japanese
DAI,戴,Mandarin
HOUNG,洪,Mandarin
SERN,SERN,Others
LIEM,林,Hokkien/Teochew
MUI,梅,Cantonese
HI,HI,Others
FON,FON,Others
LEANG,梁,Mandarin
GOAY,魏,Hokkien
KOOH,許,Teochew
QUAN,全,Mandarin
HEONG,向,Hokkien
ZHENG,鄭,Mandarin
PHUAN,潘,Teochew
KIAT,傑,Hokkien
PAW,羅,Korean
NGIENG,印,Others
NGIAM,閻,Hokkien/Teochew
POONG,龐,Cantonese
FOON,FOON,Others
DIA,DIA,Others
FARM,FARM,Others
MUN,文,Korean
NGOOI,魏,Teochew
THAW,THAW,Others
TERN,TERN,Others
HEO,許,Korean
NGAW,熬,Cantonese
NGEE,倪,Others
DIONG,張,Foochow
SAI,蔡,Japanese
CHEUN,秦,Cantonese
TEU,泰,Others
SEOH,徐,Korean
VOO,吳,Mandarin
HIU,邱,Hakka
PIAO,朴,Korean
QUIK,QUIK,Others
SIEH,謝,Mandarin
CHUEN,CHUEN,Others
SIW,蕭,Cantonese
PHOONG,封,Vietnamese
NEE,倪,Mandarin
HUN,HUN,Korean
SOR,SOR,Others
PATT,PATT,Others
THOW,THOW,Others
FUM,FUM,Others
FOOK,霍,Cantonese
MOCK,莫,Cantonese
LWI,LWI,Others
CHEEH,CHEEH,Others
TA,謝,Vietnamese
MIOW,苗,Mandarin
KHEK,KHEK,Others
THED,THED,Others
THU,蘇,Others
KEN,健,Japanese
NGEW,NGEW,Others
AIK,易,Hokkien
CHAIN,陳,Others
KWAK,郭,Korean
TOI,戴,Hakka
OOH,胡,Others
SE,SE,Others
KUO,郭,Mandarin
SUE,蘇,Mandarin
KAW,高,Mandarin
THEAN,鄧,Hakka
PHAY,裴,Others
TAO,陶,Mandarin
THIA,程,Hokkien/Teochew
THE,THE,Others
CUI,崔,Mandarin
KWAY,郭,Hokkien
WE,WE,Others
KHAU,KHAU,Others
LIEN,連,Mandarin
SHIW,SHIW,Others
BOK,卜,Hainanese
SHIEK,SHIEK,Others
GU,顧,Mandarin
POOK,卜,Cantonese
CHEEAH,謝,Hokkien/Teochew
HUONG,方,Foochow
YET,YET,Others
GHO,吳,Hokkien
SUU,蘇,Mandarin
BOY,BOY,Others
QI,齊,Mandarin
HEU,邱,Hakka
EEE,EEE,Others
SOOH,SOOH,Korean
FO,FO,Others
MEOW,MEOW,Others
DOONG,董,Mandarin
PHOA,潘,Hokkien
KE,柯,Mandarin
AE,AE,Others
HEN,HEN,Others
KOEK,KOEK,Others
DOH,陶,Korean
PAT,PAT,Others
TSONG,宋,Mandarin
GOR,GOR,Others
HUAM,HUAM,Others
NEOU,NEOU,Others
YEUNG,楊,Cantonese
SOAM,SOAM,Others
YEAN,袁,Others
KUN,KUN,Others
SEM,SEM,Others
MYO,苗,Korean
NUN,NUN,Others
JEANG,蔣,Mandarin
NGAH,NGAH,Others
CHOAH,蔡,Others
SIUW,蕭,Cantonese
HOCK,HOCK,Others
SAIK,SAIK,Others
CHIAU,周,Others 
PAM,PAM,Others
OAK,玉,Korean
TOEW,TOEW,Others
DONG,董,Mandarin
POT,POT,Others
TUW,TUW,Others
DOI,DOI,Japanese
NGIAN,顏,Hakka
NGOO,吳,Others
THENH,清,Vietnamese
MARK,MARK,Others
PEN,PEN,Others
FOH,FOH,Others
LIOH,廖,Others
SHUET,SHUET,Others
CHAOW,趙,Others
